lea_name,lea_id,state,year,homeschool_students
Alma School District,0502250,AR,2017-18,142
Alma School District,0502250,AR,2018-19,191
Alma School District,0502250,AR,2019-20,204
Alma School District,0502250,AR,2020-21,269
Alma School District,0502250,AR,2021-22,311
Alma School District,0502250,AR,2022-23,281
Alpena School District,0502280,AR,2017-18,51
Alpena School District,0502280,AR,2018-19,59
Alpena School District,0502280,AR,2019-20,66
Alpena School District,0502280,AR,2020-21,62
Alpena School District,0502280,AR,2021-22,75
Alpena School District,0502280,AR,2022-23,62
Arkadelphia School District,0502430,AR,2017-18,91
Arkadelphia School District,0502430,AR,2018-19,79
Arkadelphia School District,0502430,AR,2019-20,71
Arkadelphia School District,0502430,AR,2020-21,103
Arkadelphia School District,0502430,AR,2021-22,89
Arkadelphia School District,0502430,AR,2022-23,87
Armorel School District,0502550,AR,2017-18,19
Armorel School District,0502550,AR,2018-19,19
Armorel School District,0502550,AR,2019-20,18
Armorel School District,0502550,AR,2020-21,23
Armorel School District,0502550,AR,2021-22,17
Armorel School District,0502550,AR,2022-23,17
Ashdown School District,0502580,AR,2017-18,40
Ashdown School District,0502580,AR,2018-19,55
Ashdown School District,0502580,AR,2019-20,41
Ashdown School District,0502580,AR,2020-21,41
Ashdown School District,0502580,AR,2021-22,65
Ashdown School District,0502580,AR,2022-23,55
Atkins School District,0502610,AR,2017-18,53
Atkins School District,0502610,AR,2018-19,46
Atkins School District,0502610,AR,2019-20,46
Atkins School District,0502610,AR,2020-21,95
Atkins School District,0502610,AR,2021-22,65
Atkins School District,0502610,AR,2022-23,93
Augusta School District,0502670,AR,2017-18,5
Augusta School District,0502670,AR,2018-19,6
Augusta School District,0502670,AR,2019-20,3
Augusta School District,0502670,AR,2020-21,13
Augusta School District,0502670,AR,2021-22,8
Augusta School District,0502670,AR,2022-23,NA
Bald Knob School District,0502700,AR,2017-18,67
Bald Knob School District,0502700,AR,2018-19,76
Bald Knob School District,0502700,AR,2019-20,85
Bald Knob School District,0502700,AR,2020-21,130
Bald Knob School District,0502700,AR,2021-22,144
Bald Knob School District,0502700,AR,2022-23,114
Barton School District,0502730,AR,2021-22,10
Barton School District,0502730,AR,2022-23,18
Barton-Lexa School District,0502730,AR,2017-18,9
Barton-Lexa School District,0502730,AR,2018-19,22
Barton-Lexa School District,0502730,AR,2019-20,14
Barton-Lexa School District,0502730,AR,2020-21,25
Batesville School District,0500019,AR,2017-18,141
Batesville School District,0500019,AR,2018-19,176
Batesville School District,0500019,AR,2019-20,139
Batesville School District,0500019,AR,2020-21,200
Batesville School District,0500019,AR,2021-22,206
Batesville School District,0500019,AR,2022-23,239
Bauxite School District,0502790,AR,2017-18,53
Bauxite School District,0502790,AR,2018-19,68
Bauxite School District,0502790,AR,2019-20,73
Bauxite School District,0502790,AR,2020-21,95
Bauxite School District,0502790,AR,2021-22,82
Bauxite School District,0502790,AR,2022-23,80
Bay School District,0502820,AR,2017-18,14
Bay School District,0502820,AR,2018-19,23
Bay School District,0502820,AR,2019-20,28
Bay School District,0502820,AR,2020-21,32
Bay School District,0502820,AR,2021-22,51
Bay School District,0502820,AR,2022-23,47
Bearden School District,0500032,AR,2017-18,9
Bearden School District,0500032,AR,2018-19,7
Bearden School District,0500032,AR,2019-20,4
Bearden School District,0500032,AR,2020-21,15
Bearden School District,0500032,AR,2021-22,17
Bearden School District,0500032,AR,2022-23,19
Beebe School District,0502880,AR,2017-18,190
Beebe School District,0502880,AR,2018-19,206
Beebe School District,0502880,AR,2019-20,215
Beebe School District,0502880,AR,2020-21,279
Beebe School District,0502880,AR,2021-22,269
Beebe School District,0502880,AR,2022-23,291
Benton School District,0502960,AR,2017-18,183
Benton School District,0502960,AR,2018-19,199
Benton School District,0502960,AR,2019-20,227
Benton School District,0502960,AR,2020-21,289
Benton School District,0502960,AR,2021-22,284
Benton School District,0502960,AR,2022-23,343
Bentonville School District,0503060,AR,2017-18,1021
Bentonville School District,0503060,AR,2018-19,1121
Bentonville School District,0503060,AR,2019-20,1056
Bentonville School District,0503060,AR,2020-21,1613
Bentonville School District,0503060,AR,2021-22,1532
Bentonville School District,0503060,AR,2022-23,1503
Bergman School District,0503090,AR,2017-18,54
Bergman School District,0503090,AR,2018-19,77
Bergman School District,0503090,AR,2019-20,83
Bergman School District,0503090,AR,2020-21,91
Bergman School District,0503090,AR,2021-22,100
Bergman School District,0503090,AR,2022-23,146
Berryville School District,0503150,AR,2017-18,98
Berryville School District,0503150,AR,2018-19,127
Berryville School District,0503150,AR,2019-20,142
Berryville School District,0503150,AR,2020-21,157
Berryville School District,0503150,AR,2021-22,224
Berryville School District,0503150,AR,2022-23,214
Bismarck School District,0503240,AR,2017-18,89
Bismarck School District,0503240,AR,2018-19,80
Bismarck School District,0503240,AR,2019-20,80
Bismarck School District,0503240,AR,2020-21,101
Bismarck School District,0503240,AR,2021-22,103
Bismarck School District,0503240,AR,2022-23,112
Blevins School District,0503300,AR,2017-18,23
Blevins School District,0503300,AR,2018-19,21
Blevins School District,0503300,AR,2019-20,19
Blevins School District,0503300,AR,2020-21,21
Blevins School District,0503300,AR,2021-22,24
Blevins School District,0503300,AR,2022-23,27
Blytheville School District,0503320,AR,2017-18,17
Blytheville School District,0503320,AR,2018-19,34
Blytheville School District,0503320,AR,2019-20,21
Blytheville School District,0503320,AR,2020-21,28
Blytheville School District,0503320,AR,2021-22,39
Blytheville School District,0503320,AR,2022-23,32
Booneville School District,0503450,AR,2017-18,39
Booneville School District,0503450,AR,2018-19,50
Booneville School District,0503450,AR,2019-20,47
Booneville School District,0503450,AR,2020-21,63
Booneville School District,0503450,AR,2021-22,80
Booneville School District,0503450,AR,2022-23,104
Bradford School District,0503480,AR,2017-18,24
Bradford School District,0503480,AR,2018-19,33
Bradford School District,0503480,AR,2019-20,18
Bradford School District,0503480,AR,2020-21,34
Bradford School District,0503480,AR,2021-22,43
Bradford School District,0503480,AR,2022-23,28
Brinkley School District,0503630,AR,2017-18,13
Brinkley School District,0503630,AR,2018-19,17
Brinkley School District,0503630,AR,2019-20,13
Brinkley School District,0503630,AR,2020-21,10
Brinkley School District,0503630,AR,2021-22,19
Brinkley School District,0503630,AR,2022-23,24
Brookland School District,0503640,AR,2017-18,113
Brookland School District,0503640,AR,2018-19,113
Brookland School District,0503640,AR,2019-20,131
Brookland School District,0503640,AR,2020-21,171
Brookland School District,0503640,AR,2021-22,203
Brookland School District,0503640,AR,2022-23,170
Bryant School District,0503690,AR,2017-18,328
Bryant School District,0503690,AR,2018-19,376
Bryant School District,0503690,AR,2019-20,394
Bryant School District,0503690,AR,2020-21,557
Bryant School District,0503690,AR,2021-22,514
Bryant School District,0503690,AR,2022-23,540
Buffalo Is. Central Sch. Dist.,0503710,AR,2017-18,22
Buffalo Is. Central Sch. Dist.,0503710,AR,2018-19,22
Buffalo Is. Central Sch. Dist.,0503710,AR,2019-20,19
Buffalo Is. Central Sch. Dist.,0503710,AR,2020-21,40
Buffalo Is. Central Sch. Dist.,0503710,AR,2021-22,31
Buffalo Is. Central Sch. Dist.,0503710,AR,2022-23,36
Cabot School District,0503750,AR,2017-18,562
Cabot School District,0503750,AR,2018-19,551
Cabot School District,0503750,AR,2019-20,564
Cabot School District,0503750,AR,2020-21,748
Cabot School District,0503750,AR,2021-22,711
Cabot School District,0503750,AR,2022-23,674
Caddo Hills School District,0503770,AR,2017-18,24
Caddo Hills School District,0503770,AR,2018-19,38
Caddo Hills School District,0503770,AR,2019-20,34
Caddo Hills School District,0503770,AR,2020-21,61
Caddo Hills School District,0503770,AR,2021-22,67
Caddo Hills School District,0503770,AR,2022-23,70
Calico Rock School District,0503840,AR,2017-18,30
Calico Rock School District,0503840,AR,2018-19,33
Calico Rock School District,0503840,AR,2019-20,37
Calico Rock School District,0503840,AR,2020-21,40
Calico Rock School District,0503840,AR,2021-22,31
Calico Rock School District,0503840,AR,2022-23,52
Camden Fairview School Dist.,0506060,AR,2017-18,71
Camden Fairview School Dist.,0506060,AR,2018-19,97
Camden Fairview School Dist.,0506060,AR,2019-20,83
Camden Fairview School Dist.,0506060,AR,2020-21,112
Camden Fairview School District,0506060,AR,2021-22,136
Camden Fairview School District,0506060,AR,2022-23,108
Carlisle School District,0503960,AR,2017-18,39
Carlisle School District,0503960,AR,2018-19,50
Carlisle School District,0503960,AR,2019-20,34
Carlisle School District,0503960,AR,2020-21,41
Carlisle School District,0503960,AR,2021-22,43
Carlisle School District,0503960,AR,2022-23,33
Cave City School District,0504050,AR,2017-18,79
Cave City School District,0504050,AR,2018-19,70
Cave City School District,0504050,AR,2019-20,66
Cave City School District,0504050,AR,2020-21,79
Cave City School District,0504050,AR,2021-22,137
Cave City School District,0504050,AR,2022-23,147
Cedar Ridge School District,0500070,AR,2017-18,39
Cedar Ridge School District,0500070,AR,2018-19,61
Cedar Ridge School District,0500070,AR,2019-20,50
Cedar Ridge School District,0500070,AR,2020-21,73
Cedar Ridge School District,0500070,AR,2021-22,107
Cedar Ridge School District,0500070,AR,2022-23,88
Cedarville School District,0504080,AR,2017-18,36
Cedarville School District,0504080,AR,2018-19,46
Cedarville School District,0504080,AR,2019-20,51
Cedarville School District,0504080,AR,2020-21,94
Cedarville School District,0504080,AR,2021-22,90
Cedarville School District,0504080,AR,2022-23,112
Centerpoint School District,0506690,AR,2017-18,49
Centerpoint School District,0506690,AR,2018-19,53
Centerpoint School District,0506690,AR,2019-20,42
Centerpoint School District,0506690,AR,2020-21,64
Centerpoint School District,0506690,AR,2021-22,70
Centerpoint School District,0506690,AR,2022-23,85
Charleston School District,0504200,AR,2017-18,22
Charleston School District,0504200,AR,2018-19,39
Charleston School District,0504200,AR,2019-20,29
Charleston School District,0504200,AR,2020-21,47
Charleston School District,0504200,AR,2021-22,38
Charleston School District,0504200,AR,2022-23,46
Clarendon School District,0504350,AR,2017-18,18
Clarendon School District,0504350,AR,2018-19,12
Clarendon School District,0504350,AR,2019-20,14
Clarendon School District,0504350,AR,2020-21,18
Clarendon School District,0504350,AR,2021-22,26
Clarendon School District,0504350,AR,2022-23,27
Clarksville School District,0504380,AR,2017-18,137
Clarksville School District,0504380,AR,2018-19,123
Clarksville School District,0504380,AR,2019-20,126
Clarksville School District,0504380,AR,2020-21,155
Clarksville School District,0504380,AR,2021-22,143
Clarksville School District,0504380,AR,2022-23,120
Cleveland County School Dist.,0500067,AR,2017-18,47
Cleveland County School Dist.,0500067,AR,2018-19,48
Cleveland County School Dist.,0500067,AR,2019-20,57
Cleveland County School Dist.,0500067,AR,2020-21,55
Cleveland County School District,0500067,AR,2021-22,45
Cleveland County School District,0500067,AR,2022-23,51
Clinton School District,0504410,AR,2017-18,94
Clinton School District,0504410,AR,2018-19,100
Clinton School District,0504410,AR,2019-20,135
Clinton School District,0504410,AR,2020-21,181
Clinton School District,0504410,AR,2021-22,164
Clinton School District,0504410,AR,2022-23,171
Concord School District,0504560,AR,2017-18,61
Concord School District,0504560,AR,2018-19,67
Concord School District,0504560,AR,2019-20,78
Concord School District,0504560,AR,2020-21,71
Concord School District,0504560,AR,2021-22,62
Concord School District,0504560,AR,2022-23,56
Conway School District,0504590,AR,2017-18,562
Conway School District,0504590,AR,2018-19,601
Conway School District,0504590,AR,2019-20,581
Conway School District,0504590,AR,2020-21,800
Conway School District,0504590,AR,2021-22,828
Conway School District,0504590,AR,2022-23,780
Corning School District,0500009,AR,2017-18,30
Corning School District,0500009,AR,2018-19,31
Corning School District,0500009,AR,2019-20,33
Corning School District,0500009,AR,2020-21,56
Corning School District,0500009,AR,2021-22,69
Corning School District,0500009,AR,2022-23,59
Cossatot River School District,0500405,AR,2017-18,77
Cossatot River School District,0500405,AR,2018-19,61
Cossatot River School District,0500405,AR,2019-20,83
Cossatot River School District,0500405,AR,2020-21,95
Cossatot River School District,0500405,AR,2021-22,93
Cossatot River School District,0500405,AR,2022-23,86
Cotter School District,0504680,AR,2017-18,32
Cotter School District,0504680,AR,2018-19,33
Cotter School District,0504680,AR,2019-20,45
Cotter School District,0504680,AR,2020-21,47
Cotter School District,0504680,AR,2021-22,58
Cotter School District,0504680,AR,2022-23,56
County Line School District,0504740,AR,2017-18,29
County Line School District,0504740,AR,2018-19,26
County Line School District,0504740,AR,2019-20,30
County Line School District,0504740,AR,2020-21,45
County Line School District,0504740,AR,2021-22,54
County Line School District,0504740,AR,2022-23,46
Cross County School District,0507740,AR,2017-18,25
Cross County School District,0507740,AR,2018-19,29
Cross County School District,0507740,AR,2019-20,38
Cross County School District,0507740,AR,2020-21,49
Cross County School District,0507740,AR,2021-22,58
Cross County School District,0507740,AR,2022-23,65
Crossett School District,0504800,AR,2017-18,60
Crossett School District,0504800,AR,2018-19,56
Crossett School District,0504800,AR,2019-20,78
Crossett School District,0504800,AR,2020-21,103
Crossett School District,0504800,AR,2021-22,87
Crossett School District,0504800,AR,2022-23,92
Cutter-Morning Star Sch. Dist.,0504860,AR,2017-18,44
Cutter-Morning Star Sch. Dist.,0504860,AR,2018-19,37
Cutter-Morning Star Sch. Dist.,0504860,AR,2019-20,27
Cutter-Morning Star Sch. Dist.,0504860,AR,2020-21,46
Cutter-Morning Star School District,0504860,AR,2021-22,47
Cutter-Morning Star School District,0504860,AR,2022-23,60
Danville School District,0504890,AR,2017-18,13
Danville School District,0504890,AR,2018-19,14
Danville School District,0504890,AR,2019-20,16
Danville School District,0504890,AR,2020-21,35
Danville School District,0504890,AR,2021-22,29
Danville School District,0504890,AR,2022-23,29
Dardanelle School District,0504930,AR,2017-18,92
Dardanelle School District,0504930,AR,2018-19,96
Dardanelle School District,0504930,AR,2019-20,103
Dardanelle School District,0504930,AR,2020-21,132
Dardanelle School District,0504930,AR,2021-22,150
Dardanelle School District,0504930,AR,2022-23,119
Decatur School District,0504980,AR,2017-18,32
Decatur School District,0504980,AR,2018-19,38
Decatur School District,0504980,AR,2019-20,48
Decatur School District,0504980,AR,2020-21,53
Decatur School District,0504980,AR,2021-22,38
Decatur School District,0504980,AR,2022-23,39
Deer/Mt. Judea School District,0500072,AR,2017-18,0
Deer/Mt. Judea School District,0500072,AR,2018-19,16
Deer/Mt. Judea School District,0500072,AR,2019-20,20
Deer/Mt. Judea School District,0500072,AR,2020-21,29
Deer/Mt. Judea School District,0500072,AR,2021-22,23
Deer/Mt. Judea School District,0500072,AR,2022-23,30
Dequeen School District,0500049,AR,2017-18,41
Dequeen School District,0500049,AR,2018-19,51
Dequeen School District,0500049,AR,2019-20,62
Dequeen School District,0500049,AR,2020-21,54
Dequeen School District,0500049,AR,2021-22,72
Dequeen School District,0500049,AR,2022-23,50
Dermott School District,0505170,AR,2017-18,15
Dermott School District,0505170,AR,2018-19,9
Dermott School District,0505170,AR,2019-20,11
