state,year,homeschool_students
CALIFORNIA,2017-18,26345
COLORADO,2017-18,7387
DELAWARE,2017-18,2864
FLORIDA,2017-18,89817
KANSAS,2017-18,1947
KENTUCKY,2017-18,24573
LOUISIANA,2017-18,21717
MARYLAND,2017-18,26040
MASSACHUSETTS,2017-18,7435
MINNESOTA,2017-18,18988
NEW YORK,2017-18,25541
NORTH DAKOTA,2017-18,2808
RHODE ISLAND,2017-18,1648
SOUTH CAROLINA,2017-18,21532
SOUTH DAKOTA,2017-18,4696
VIRGINIA,2017-18,43361
WASHINGTON,2017-18,21022
WYOMING,2017-18,2572
ARKANSAS,2017-18,20331
DISTRICT OF COLUMBIA,2017-18,469
GEORGIA,2017-18,70414
HAWAII,2017-18,2726
MAINE,2017-18,NA
MISSISSIPPI,2017-18,18323
MONTANA,2017-18,5390
NEBRASKA,2017-18,8919
NEW HAMPSHIRE,2017-18,2875
NEW MEXICO,2017-18,10708
OHIO,2017-18,30923
PENNSYLVANIA,2017-18,25378
TENNESSEE,2017-18,9069
VERMONT,2017-18,2389
WISCONSIN,2017-18,21633
CALIFORNIA,2018-19,25423
COLORADO,2018-19,9284
DELAWARE,2018-19,2954
FLORIDA,2018-19,97261
KANSAS,2018-19,2143
KENTUCKY,2018-19,22998
LOUISIANA,2018-19,23161
MARYLAND,2018-19,27732
MASSACHUSETTS,2018-19,7648
MINNESOTA,2018-19,19228
NEW YORK,2018-19,26805
NORTH DAKOTA,2018-19,2683
RHODE ISLAND,2018-19,1731
SOUTH CAROLINA,2018-19,20752
SOUTH DAKOTA,2018-19,5046
VIRGINIA,2018-19,43505
WASHINGTON,2018-19,21916
WYOMING,2018-19,1797
ARKANSAS,2018-19,21959
DISTRICT OF COLUMBIA,2018-19,510
GEORGIA,2018-19,75111
HAWAII,2018-19,3398
MAINE,2018-19,NA
MISSISSIPPI,2018-19,20552
MONTANA,2018-19,5743
NEBRASKA,2018-19,9030
NEW HAMPSHIRE,2018-19,3252
NEW MEXICO,2018-19,9793
OHIO,2018-19,32887
PENNSYLVANIA,2018-19,25909
TENNESSEE,2018-19,10161
VERMONT,2018-19,2578
WISCONSIN,2018-19,21577
CALIFORNIA,2019-20,38532
COLORADO,2019-20,7880
DELAWARE,2019-20,3039
FLORIDA,2019-20,106115
KANSAS,2019-20,2339
KENTUCKY,2019-20,27072
LOUISIANA,2019-20,23909
MARYLAND,2019-20,27754
